Contenido,Título del vídeo,Hora de publicación del vídeo,Duración,Duración media de las visualizaciones,Porcentaje medio visto (%),Se quedaron viendo (%),Usuarios únicos,Unique Reach,Usuarios ocasionales,Usuarios recurrentes,Media de visualizaciones por usuario,Usuarios nuevos,Usuarios habituales,Suscriptores ganados,Suscriptores perdidos,Me gusta,No me gusta,Me gusta (vs. No me gusta) (%),Visualizaciones interesadas,Visualizaciones,Tiempo de visualización (horas),Suscriptores,Impresiones,Porcentaje de clics de las impresiones (%)
Total,,,,0:01:59,32.53,0,22,24,0,0,1.5909,0,0,2,0,8,0,100,35,35,1.1657,2,1821,1.43
uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:02:01,35.22,,14,16,,,1.1429,,,0,0,3,0,100,16,16,0.5417,0,822,1.58
o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:01:24,25.47,,6,6,,,1.1667,,,0,0,2,0,100,7,7,0.1635,0,498,0.8
nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:01:56,27.1,,8,8,,,1.375,,,0,0,3,0,100,11,11,0.3561,0,501,1.8
